STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
539631,2000094,,,5.75,5.33,,,5,6,5.5,7,4.75,2
539632,2000095,,,8,6.75,,,6,7,4.25,8,8,2
539633,2000096,,,5.75,6.5,,,5.4,7,6.25,8.8,7.5,2
539634,2000097,,,5.25,5.83,,,8.4,6.5,4.75,8.8,7.5,2
539635,2000098,6.25,8,,,6.58,5.5,6.4,5.75,,5.6,,2
539636,2000099,,,6.75,7,,,9,6.5,6.5,9.4,7.75,2
539637,2000100,7.25,8.25,,,7.42,6.75,8.2,7.5,,8.2,,2
539638,2000101,,,6.5,5.5,,,7,6.75,4.25,7.8,5.75,2
539639,2000102,,,6.25,6.92,,,7,6.25,6.75,8.4,7.75,2
539640,2000103,6.75,8,,,7.42,7.5,7.6,6.5,,8.2,,2
539641,2000104,,,7.75,6.83,,,6.8,6,6,8,6.75,2
539642,2000105,,,7.5,6.17,,,7.2,5.5,7.25,8.2,3.75,2
539643,2000106,,,7,6.33,,,7.8,6,4,8.2,8,2
539644,2000107,,,3.25,5.67,,,4.4,4,6,6.6,7.75,2
539645,2000108,,,7.75,7.92,,,6.4,6.75,7.75,8.6,8.25,2
539646,2000109,,,8.25,6.17,,,6.2,6.5,5.25,7.8,5,2
539647,2000110,8,9.5,,,7.67,5.5,8,7.25,,7.8,,2
539648,2000111,,,8,6.75,,,5,7.25,6.25,8.6,6,2
539649,2000112,8.25,8.75,,,7.83,6.5,7.6,6.75,,7.6,,2
539650,2000113,8,8,,,7.25,5.75,8.6,7.5,,6.8,,2
539651,2000114,6.75,8.5,,,6.92,5.5,6.6,7,,6,,2
539652,2000115,8.5,9.25,,,8.25,7,8.2,7.25,,8.2,,2
539653,2000116,,,8,7.08,,,6.6,7.5,6,8.6,7.25,2
539654,2000117,,,7,6.92,,,8,7.5,6.25,8.4,7.5,2
539655,2000118,7.5,7.5,,,7.67,8,5.4,7,,7.2,,2
539656,2000119,,,8,6.5,,,8.6,4.25,7,8.8,4.5,2
539657,2000120,,,6.5,5.83,,,7.2,6.25,5,7.4,6,2
539658,2000121,7.75,8.25,,,7.25,5.75,6.2,8.25,,5.6,,2
539659,2000122,,,7.75,5.5,,,7.4,8.25,4.25,7.8,4.5,2
539660,2000123,7.25,8,,,6.75,5,9.6,6.75,,5.6,,2
539661,2000124,,,6.25,4.67,,,6.4,7,4,8.4,3.75,2
539662,2000125,,,6,6.83,,,6.6,5.75,6.25,8.8,8.25,2
539663,2000126,,,5.25,5.58,,,9,7.5,4.75,8,6.75,2
539664,2000127,7.75,9,,,7.67,6.25,5.6,7.25,,7.2,,2
539665,2000128,,,4.75,6,,,7,6.25,6,7.2,7.25,2
539666,2000129,6.5,8.75,,,7.08,6,4,6.5,,7.6,,2
539667,2000130,,,4.75,5,,,5.4,6.25,4.75,6.6,5.5,2
539668,2000131,,,8.5,7.92,,,8.2,7.5,7,9.6,8.25,2
539669,2000132,4,8.75,,,5.92,5,4,6.5,,5,,2
539670,2000133,,,7.25,6,,,9.6,7.25,4.75,8.2,6,2
539671,2000134,,,5,5.42,,,6.4,6.75,4.5,6.6,6.75,2
539672,2000135,6.5,7.25,,,6.67,6.25,8.2,6.75,,8.6,,2
539673,2000136,,,7,6.08,,,4.4,6.16,5.25,8,6,2
539674,2000137,,,5.5,5.75,,,6.8,7,4.5,7.4,7.25,2
539675,2000138,,,5.75,5.75,,,5.4,6.25,5.75,7.4,5.75,2
539676,2000139,,,7.25,7.17,,,5.6,7.75,5.25,8.2,9,2
539677,2000140,6,7.25,,,5.83,4.25,2.4,7,,6,,2
539678,2000141,,,6.5,5.58,,,4.8,7,4.75,7.2,5.5,2
539679,2000142,7,9,,,7.42,6.25,6.2,7.25,,6.8,,2
539680,2000143,,,8,6.92,,,6.2,7,5.5,7.8,7.25,2
539681,2000144,6.5,8.5,,,6.58,4.75,5.4,6,,5.6,,2
539682,2000145,,,5.25,6.75,,,8.4,6,6.25,8.8,8.75,2
539683,2000146,,,6.5,6.08,,,5,6,6.5,7,5.25,2
539684,2000147,,,6.25,5.67,,,3.8,5.75,4.75,8.6,6,2
539685,2000148,,,5.5,5.75,,,4.8,7.5,5,8,6.75,2
539686,2000149,,,6,5.17,,,9,7,4.75,8,4.75,2
539687,2000150,,,5,5.25,,,7.6,7.5,4.5,8.2,6.25,2
539688,2000151,6.5,7,,,5.42,2.75,5.4,6.75,,5.4,,2
539689,2000152,7.25,8.25,,,7.67,7.5,6.8,7.5,,7.4,,2
539690,2000153,6.75,7.25,,,6.58,5.75,9.4,7.5,,7.6,,2
539691,2000154,6.75,8.25,,,6.58,4.75,6.8,3.5,,6.2,,2
539692,2000155,,,6,5.5,,,4.6,7.5,4.75,8.4,5.75,2
539693,2000156,,,8,6.92,,,5,7,4.75,8.6,8,2
539694,2000157,,,8.5,7.08,,,5,7.5,7,8.2,5.75,2
539695,2000158,,,7.25,5.5,,,7.8,7.25,4.75,7.4,4.5,2
539696,2000159,,,7.75,7.17,,,7.4,7.25,5.5,9.4,8.25,2
539697,2000160,,,5,5.42,,,6.6,5.5,4.75,8.4,6.5,2
539698,2000161,,,5.5,5.17,,,6.4,6.75,4.75,7,5.25,2
539699,2000162,,,6.75,6.33,,,6.6,6.5,5.25,8.8,7,2
539700,2000163,,,7.25,7.33,,,9,6.75,5.75,8.8,9,2
539701,2000164,,,7.75,6.75,,,5.4,6.5,5.5,8.2,7,2
539702,2000165,,,5.75,4.92,,,7.8,8.25,5.25,8.8,3.75,2
539703,2000166,,,8,7.42,,,4.8,7,7.25,8,7,2
539704,2000167,,,7.25,6.58,,,5.6,6.75,5.75,8,6.75,2
539705,2000168,6,9.25,,,6.83,5.25,8.6,8,,8.4,,2
539706,2000169,,,7.25,6.33,,,7.8,7,4,8.8,7.75,2
539707,2000170,7.25,9,,,7.08,5,6.6,8.25,,8.4,,2
539708,2000171,,,7,6.17,,,8,5.67,4,8.6,7.5,2
539709,2000172,7.25,7,,,6.33,4.75,5.6,7.25,,8.2,,2
539710,2000173,,,8.25,7.75,,,8.6,6.75,7,8.8,8,2
539711,2000174,,,8.25,7.5,,,7.6,7.75,5.5,9,8.75,2
539712,2000175,7.75,7.5,,,7.42,7,6,8,,8.2,,2
539713,2000176,,,6,6.42,,,8.8,7,6.5,8.6,6.75,2
539714,2000177,7,8.5,,,7.67,7.5,7.2,7,,7.8,,2
539715,2000178,,,6,6.75,,,7.8,6.5,6.5,9.2,7.75,2
539716,2000179,,,7,7.08,,,9.2,7,6.5,8.6,7.75,2
539717,2000180,5.5,7.25,,,6.08,5.5,4.2,6,,7,,2
539718,2000181,,,7.25,5.83,,,5.6,6.5,3.5,8.6,6.75,2
539719,2000182,7,7.5,,,7,6.5,7.8,7,,7,,2
539720,2000183,,,5.5,5.67,,,8.8,7.5,4.5,7.8,7,2
539721,2000184,,,5,6.33,,,8.8,4.25,6.5,8.4,7.5,2
539722,2000185,,,6.25,6.42,,,7.2,6.25,4.75,8.4,8.25,2
539723,2000186,,,4.75,5.58,,,6.6,7.25,5.25,7.8,6.75,2
539724,2000187,,,7.25,6.83,,,5.2,6.5,5,8.2,8.25,2
539725,2000188,,,5.5,6.25,,,8.2,7.5,5.25,8.4,8,2
539726,2000189,,,4.75,5.75,,,6.8,5.75,5.75,8.2,6.75,2
539727,2000190,,,4.5,5,,,8.4,6,5,7.8,5.5,2
539728,2000191,,,7.5,6.5,,,6.6,6,4.75,9.2,7.25,2
539729,2000192,,,5,5.25,,,7.4,4.75,3.5,8.4,7.25,2
539730,2000193,,,5.25,5.92,,,7.6,6.25,5.75,7.6,6.75,2
539731,2000194,,,7.5,6.75,,,7.2,6.75,6.5,7.4,6.25,2
539732,2000195,,,7.75,7,,,7,7.5,6.25,8.2,7,2
539733,2000196,,,6,6,,,6.6,7,5,8.2,7,2
539734,2000197,5.25,6.5,,,5.17,3.75,3.2,5.75,,5.4,,2
539735,2000198,,,4.75,5.58,,,6.2,7,5,5.2,7,2
539736,2000199,,,5,5.58,,,8.4,7.5,3.5,8.6,8.25,2
539737,2000200,7.25,8,,,7.83,8.25,9.2,7,,7.4,,2
539738,2000201,,,5.5,4.67,,,7.8,7,5,7.8,3.5,2
539739,2000202,9,9.5,,,9.25,9.25,6.4,6.75,,8,,2
539740,2000203,6.75,7,,,5.75,3.5,6.2,7,,7.6,,2
539741,2000204,,,8.25,7.08,,,6.2,6.5,5.25,7.6,7.75,2
539742,2000205,,,7.25,6.67,,,6.6,6.75,7,7.8,5.75,2
539743,2000206,,,7.75,7.25,,,7.2,6,6.25,8.2,7.75,2
539744,2000207,,,8.5,7.25,,,6.6,6.75,5,7.6,8.25,2
539745,2000208,,,6,6.33,,,8.2,6.75,5.5,8.2,7.5,2
539746,2000209,,,6.75,5.75,,,7,5.5,6,7.8,4.5,2
539747,2000210,7.25,8.25,,,7.67,7.5,8.8,6.75,,9,,2
539748,2000211,,,8,7.25,,,7.6,7,6,9,7.75,2
539749,2000212,6,7,,,6.42,6.25,4.6,6,,5.8,,2
539750,2000213,,,6.75,5.92,,,5.6,6,4.25,8.2,6.75,2
539751,2000214,7.75,8.5,,,7.67,6.75,8.4,7,,8,,2
539752,2000215,8.75,8.75,,,8.92,9.25,6,9,,8.6,,2
539753,2000216,,,8.5,7.25,,,,6.75,5.5,9.2,7.75,2
539754,2000217,,,5.5,6.42,,,8.2,4,6.5,9.2,7.25,2
539755,2000218,,,8,7.58,,,6,6.5,7.25,8.2,7.5,2
539756,2000219,,,5.25,5.58,,,7.8,6.5,4.25,8.2,7.25,2
539757,2000220,,,5.75,5.75,,,3,5.5,5.5,6.6,6,2
539758,2000221,,,7.25,6.25,,,8.8,6.75,6.25,8,5.25,2
539759,2000222,,,5.5,6.08,,,8.8,7.5,5.25,8.6,7.5,2
539760,2000223,,,7.75,6.58,,,8.2,7,5.5,6.8,6.5,2
539761,2000224,7.5,8.5,,,7.58,6.75,8.2,7.75,,7.6,,2
539762,2000225,,,6,6.17,,,7.2,7.25,5.75,7.8,6.75,2
539763,2000226,,,7.75,6.92,,,6,6,7.5,8.2,5.5,2
539764,2000227,,,5.25,5.33,,,6.6,7,4.25,8.6,6.5,2
539765,2000228,,,7,6.58,,,6.8,4.75,5,8,7.75,2
539766,2000229,8.25,9.25,,,7.67,5.5,7.2,7,,6.4,,2
539767,2000230,,,7.5,6.58,,,8.4,8,4.25,8.8,8,2
539768,2000231,,,8.5,7.67,,,8.4,8,7.5,8.6,7,2
539769,2000232,8.25,9,,,8.75,9,8.8,6.25,,7.2,,2
539770,2000233,,,5,5.17,,,6.2,7.75,5,6.6,5.5,2
539771,2000234,,,5.5,3.83,,,7.8,7.5,2.75,6.8,3.25,2
539772,2000235,5.5,7.25,,,5.83,4.75,2.2,6.75,,5,,2
539773,2000236,,,6,6.25,,,8,6,5,8.4,7.75,2
539774,2000237,,,7.5,6.42,,,7.4,6.5,4.5,8,7.25,2
539775,2000238,,,5.25,4.67,,,4.4,7.25,5,7.4,3.75,2
539776,2000239,8.25,9,,,8.58,8.5,7.4,6.75,,8.4,,2
539777,2000240,,,6.75,6.67,,,7.4,6.5,5.5,8.8,7.75,2
539778,2000241,7,8.5,,,7,5.5,7.4,5.5,,6,,2
539779,2000242,,,6.75,6.42,,,6.6,5.5,7.5,7.2,5,2
539780,2000243,,,8.25,7.42,,,6,4.25,6.25,9.2,7.75,2
539781,2000244,,,6,7,,,6.2,7.25,7.25,8.6,7.75,2
539782,2000245,8.25,8,,,7,4.75,3.6,5.25,,4.4,,2
539783,2000246,,,5.75,6.25,,,5.2,5.75,6.25,7.8,6.75,2
539784,2000247,,,7.5,6,,,5,6.25,4.5,8,6,2
539785,2000248,,,6.25,6.08,,,5.8,7,5.25,8.6,6.75,2
539786,2000249,,,6.25,5.33,,,4.6,7.75,2.75,8,7,2
539787,2000250,7.75,9,,,7.33,5.25,7,7.25,,7.4,,2
539788,2000251,7.25,8.75,,,7.33,6,6.6,6,,6.8,,2
539789,2000252,8,8.25,,,7.92,7.5,7.6,7.75,,7.4,,2
539790,2000253,5,8.75,,,6.67,6.25,7,6.25,,8,,2
539791,2000254,,,8.5,6.75,,,7.2,6.75,4.75,7.8,7,2
539792,2000255,7.5,7.75,,,7.58,7.5,6,8.25,,8.2,,2
539793,2000256,6,7.5,,,6.17,5,7.2,7.25,,7,,2
539794,2000257,,,5,6.08,,,8.4,7.25,5.5,7.4,7.75,2
539795,2000258,7.25,7,,,7.33,7.75,9.2,7.75,,8.6,,2
539796,2000259,,,6.75,6.25,,,5.2,6.25,5,8,7,2
539797,2000260,,,4.75,5.42,,,4.8,6.75,5.75,7.2,5.75,2
539798,2000261,,,6.25,6.33,,,7.2,6.25,5.25,7.8,7.5,2
539799,2000262,,,7.25,7.08,,,8,6.5,8,8,6,2
539800,2000263,,,4.75,5.42,,,7.2,6.5,5,6.8,6.5,2
539801,2000264,7.75,8,,,6.83,4.75,7.6,8,,7.2,,2
539802,2000265,7.25,8,,,7.42,7,8.4,8,,8.2,,2
539803,2000266,,,7.75,6.08,,,6,6.5,5.25,9,5.25,2
539804,2000267,6.25,6.75,,,5.42,3.25,8.4,7.25,,7.6,,2
539805,2000268,,,8,6.58,,,8.6,6.75,5.25,8.6,6.5,2
539806,2000269,,,8.5,6.75,,,5.8,4.25,7.25,7.4,4.5,2
539807,2000270,7.75,7.25,,,6.83,5.5,6.2,8,,8.2,,2
539808,2000271,,,7.25,6.83,,,6,8.25,6.75,8.2,6.5,2
539809,2000272,,,5.75,5.58,,,8.2,8,4.5,8,6.5,2
539810,2000273,,,5,5,,,7.6,7.5,4.75,8,5.25,2
539811,2000274,8.25,8.75,,,7.92,6.75,9.6,8.25,,7.6,,2
539812,2000275,,,6.25,6.25,,,8.6,6.5,5,8.2,7.5,2
539813,2000276,,,4.5,6.08,,,5.6,7.25,6,6.4,7.75,2
539814,2000277,,,3.75,4.58,,,8,7.5,4.25,8.8,5.75,2
539815,2000278,,,7,6.92,,,6.4,7,6.25,8,7.5,2
539816,2000279,,,8.75,7.92,,,7.8,6.75,6.25,9.6,8.75,2
539817,2000280,,,6,6,,,4.8,7.25,5.5,7.4,6.5,2
539818,2000281,7.5,8.75,,,7.25,5.5,5.4,7.5,,8.2,,2
539819,2000282,6.75,8.25,,,6.67,5,7.8,7.5,,8.4,,2
539820,2000283,,,6.75,7.42,,,8.8,7.75,6.75,8.6,8.75,2
539821,2000284,,,6.25,6.75,,,6.8,7,7.5,7.8,6.5,2
539822,2000285,,,8.5,6.92,,,7.6,8,6.25,8,6,2
539823,2000286,6.25,8.5,,,6.17,3.75,4.8,4.25,,6,,2
539824,2000287,6.5,8.25,,,6.83,5.75,7.2,7.75,,6.4,,2
539825,2000288,,,7.5,7.17,,,8.6,8.25,5.75,8.6,8.25,2
539826,2000289,,,6,5.25,,,4.8,6.5,4.25,7.6,5.5,2
539827,2000290,,,4.5,6,,,8.8,8.5,6,8.2,7.5,2
539828,2000291,,,7.75,5.92,,,5.4,7.25,5,7.2,5,2
539829,2000292,,,6,5.75,,,9.4,5.75,5.5,8.6,5.75,2
539830,2000293,,,6.5,6,,,4.8,6.5,4.75,8.2,6.75,2
539831,2000294,7,8.25,,,6.5,4.25,4.2,5.5,,7.6,,2
539832,2000295,,,7.75,6.92,,,7.2,7.5,5.75,7.4,7.25,2
539833,2000296,,,3.75,5.25,,,8.2,8.25,5.5,8,6.5,2
539834,2000297,6.5,7,,,5.92,4.25,5.6,5.5,,6.4,,2
539835,2000298,,,5.5,5.92,,,5.6,7.25,6.25,8,6,2
539836,2000299,8.25,9,,,8.17,7.25,6.2,6.75,,6,,2
539837,2000300,,,5,4.83,,,5.6,6.5,5.5,6.6,4,2
539838,2000301,,,6.25,6.25,,,8.6,5.5,5.25,8.2,7.25,2
539839,2000302,,,8,7.58,,,5.8,6.5,7.25,7.4,7.5,2
539840,2000303,,,6,5.17,,,9.2,7.5,4.5,7.6,5,2
539841,2000304,,,7.5,6.17,,,5,5.5,4.5,7.8,6.5,2
539842,2000305,,,8.25,6.83,,,8.6,8.5,5.25,8.4,7,2
539843,2000306,,,7,6.67,,,5.4,6,5.5,8.6,7.5,2
539844,2000307,,,6.25,5.83,,,6.8,6,5.5,6.8,5.75,2
539845,2000308,,,3.75,5.08,,,8.4,6.75,4,9,7.5,2
539846,2000309,,,7.75,6.5,,,8.8,7.5,6,7.2,5.75,2
539847,2000310,,,6.75,6.25,,,5,5,7,7.4,5,2
539848,2000311,,,5.75,5.58,,,6.6,5.75,3.25,8.8,7.75,2
539849,2000312,,,4.75,6.33,,,8.4,6.5,5.75,8.8,8.5,2
539850,2000313,,,5.5,5.92,,,8,6.75,3.75,8.4,8.5,2
539851,2000314,,,6.75,5.83,,,6,6.5,6,7,4.75,2
539852,2000315,,,7.5,5.42,,,6.6,4.75,4.5,8.2,4.25,2
539853,2000316,,,5.25,6.25,,,8.2,5.25,6.5,7,7,2
539854,2000317,8,7.75,,,6.92,5,4.4,5.75,,6.2,,2
539855,2000318,,,6,5.92,,,8.6,6.75,4.25,8.8,7.5,2
539856,2000319,7.25,7.75,,,5.75,2.25,6.8,5.5,,7.4,,2
539857,2000320,8,8.5,,,8,7.5,6.6,6.75,,6.6,,2
539858,2000321,,,7.5,6.83,,,6,6.75,8,8.2,5,2
539859,2000322,,,8,7.17,,,8.6,7.5,4.75,8.4,8.75,2
539860,2000323,,,7.5,6.58,,,5.8,6.25,5.5,8.6,6.75,2
539861,2000324,,,4.25,4.92,,,4.8,6.5,4.25,7,6.25,2
539862,2000325,6.75,7,,,6.25,5,3.2,5.5,,6.8,,2
539863,2000326,,,7.75,7,,,4.8,6.25,5.25,8.6,8,2
539864,2000327,,,8.5,7.17,,,4.8,6.5,5,8.6,8,2
539865,2000328,,,5,6.08,,,6.4,6.5,6.25,8.6,7,2
539866,2000329,7.75,6.25,,,5.83,3.5,3.2,5.75,,5.4,,2
539867,2000330,,,8.5,6.5,,,6.2,5,3.5,7.2,7.5,2
539868,2000331,,,7.25,7,,,6,7,6,8.6,7.75,2
539869,2000332,,,7.5,7.42,,,6.6,7,7,7.6,7.75,2
539870,2000333,,,6.75,5.33,,,8.2,7.25,3,7.6,6.25,2
539871,2000334,,,7,6.33,,,6,7.75,6.5,7.4,5.5,2
539872,2000335,6,8.75,,,6.92,6,4.8,7.25,,8.2,,2
539873,2000336,,,5.75,4.67,,,5.6,3.75,2.5,6.6,5.75,2
539874,2000337,,,4.25,4.67,,,7.4,4.5,4.25,8,5.5,2
539875,2000338,,,8.25,7.42,,,5.6,5.5,5.75,9.2,8.25,2
539876,2000339,,,4.5,5.08,,,4.8,6.5,3.75,8.4,7,2
539877,2000340,,,6.25,6.5,,,9,8,6,9.4,7.25,2
539878,2000341,,,4,5.17,,,5.2,7.25,4.75,8.2,6.75,2
539879,2000342,,,5.75,6.17,,,6.8,7.5,4.75,8.4,8,2
539880,2000343,,,3.75,5.25,,,4.4,7.5,4.75,7.6,7.25,2
539881,2000344,,,7,5.75,,,6.6,5.25,3.75,8,6.5,2
539882,2000345,,,6.5,6.75,,,7.2,7.75,7.25,7.8,6.5,2
539883,2000346,,,7.5,6.42,,,7.6,7.25,4.5,8.8,7.25,2
539884,2000347,,,7,6.75,,,7.4,5.75,5.5,7.8,7.75,2
539885,2000348,6,7.75,,,6.08,4.5,6.8,6.5,,6,,2
539886,2000349,,,7.25,6.5,,,7,7,5.25,8.6,7,2
539887,2000350,8.25,8.5,,,7.83,6.75,4.8,5.75,,7.8,,2
539888,2000351,,,7.5,7.08,,,6.2,6.5,7.5,8.6,6.25,2
539889,2000352,6.25,7.5,,,5.92,4,7.8,7.75,,8.2,,2
539890,2000353,,,4.75,4.83,,,5.6,7,5.25,7.4,4.5,2
539891,2000354,,,8,7,,,6.4,7.5,6,6.4,7,2
539892,2000355,8.25,8.25,,,8.08,7.75,8.8,7.75,,8.4,,2
539893,2000356,6.5,8.25,,,7.42,7.5,6.8,7.25,,8.2,,2
539894,2000357,,,8,5.92,,,8.2,6,4,7.8,5.75,2
539895,2000358,,,3.75,5.08,,,8.2,6.5,3.75,8.8,7.75,2
539896,2000359,6.75,7.25,,,5.75,3.25,4.6,5.75,,4.6,,2
539897,2000360,,,4,4.75,,,6.2,5.75,4.75,7.2,5.5,2
539898,2000361,,,7,7,,,7.4,5.75,6.25,8.6,7.75,2
539899,2000362,,,7.25,7.17,,,7,6.5,6.5,8.8,7.75,2
539900,2000363,,,6,5.75,,,5.6,6.5,6.75,7.8,4.5,2
