Number,Age,Age,Gender,MaritalStatus,EducationLevel,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,RelationshipSatisfaction,WorkLifeBalance,WorkLifeBalance,TotalWorkExperienceInYears,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,ExperienceYearsInCurrentRole,PerformanceRating,PerformanceResult
E1001041,40,Main labor group,Female,Single,1,Below College,Medical,Developer,4,Very High,4,Very High,2,Good,5,Copper range,2,Copper range,4,Exceed Expectation
E1001042,27,Main labor group,Female,Single,3,Bachelor,Medical,Developer,4,Very High,1,Low,1,Bad,9,Silver range,6,Silver range,3,Meet Expectation
E1001044,29,Main labor group,Male,Divorced,3,Bachelor,Marketing,Sales Representative,4,Very High,4,Very High,3,Better,2,Copper range,2,Copper range,3,Meet Expectation
E1001047,53,Old labor group,Male,Single,3,Bachelor,Life Sciences,Developer,4,Very High,4,Very High,3,Better,19,Gold range,2,Copper range,3,Meet Expectation
E1001049,35,Main labor group,Female,Divorced,4,Master,Life Sciences,Senior Developer,4,Very High,1,Low,4,Best,16,Gold range,0,no exps,3,Meet Expectation
E1001050,32,Main labor group,Male,Married,4,Master,Life Sciences,Developer,1,Low,4,Very High,3,Better,10,Silver range,8,Silver range,3,Meet Expectation
E1001053,34,Main labor group,Female,Divorced,5,Doctor,Life Sciences,Developer,2,Medium,3,High,3,Better,7,Silver range,0,no exps,3,Meet Expectation
E1001054,52,Old labor group,Male,Married,4,Master,Marketing,Manager,3,High,1,Low,4,Best,34,Diamond range,6,Silver range,5,Outstanding
E1001058,33,Main labor group,Male,Single,4,Master,Other,Developer,4,Very High,3,High,2,Good,10,Silver range,9,Silver range,3,Meet Expectation
E1001059,25,Main labor group,Female,Single,1,Below College,Medical,Sales Executive,3,High,2,Medium,2,Good,6,Silver range,5,Copper range,5,Outstanding
E1001061,45,Middle-aged labor group,Male,Single,2,College,Technical Degree,Sales Representative,2,Medium,1,Low,3,Better,9,Silver range,7,Silver range,3,Meet Expectation
E1001062,23,Young labor group,Male,Single,1,Below College,Medical,Developer,1,Low,4,Very High,3,Better,2,Copper range,2,Copper range,3,Meet Expectation
E1001063,47,Middle-aged labor group,Female,Single,2,College,Life Sciences,Sales Executive,2,Medium,4,Very High,3,Better,8,Silver range,4,Copper range,3,Meet Expectation
E1001064,34,Main labor group,Male,Single,3,Bachelor,Other,Sales Executive,4,Very High,3,High,3,Better,6,Silver range,5,Copper range,4,Exceed Expectation
E1001067,36,Main labor group,Male,Single,4,Master,Life Sciences,Sales Executive,1,Low,2,Medium,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001069,52,Old labor group,Male,Married,4,Master,Medical,Developer,4,Very High,1,Low,3,Better,5,Copper range,3,Copper range,3,Meet Expectation
E1001070,26,Main labor group,Female,Divorced,2,College,Life Sciences,Developer,1,Low,1,Low,3,Better,5,Copper range,2,Copper range,3,Meet Expectation
E1001071,29,Main labor group,Female,Married,3,Bachelor,Medical,Developer,2,Medium,1,Low,2,Good,11,Gold range,7,Silver range,3,Meet Expectation
E1001074,26,Main labor group,Male,Single,3,Bachelor,Technical Degree,Sales Executive,4,Very High,3,High,2,Good,6,Silver range,3,Copper range,3,Meet Expectation
E1001075,34,Main labor group,Female,Single,4,Master,Life Sciences,Developer,2,Medium,3,High,3,Better,10,Silver range,2,Copper range,3,Meet Expectation
E1001077,54,Old labor group,Female,Divorced,4,Master,Medical,Developer,4,Very High,2,Medium,3,Better,9,Silver range,3,Copper range,3,Meet Expectation
E1001078,27,Main labor group,Male,Married,1,Below College,Marketing,Sales Executive,3,High,2,Medium,3,Better,5,Copper range,2,Copper range,3,Meet Expectation
E1001080,37,Main labor group,Female,Divorced,1,Below College,Life Sciences,Developer,4,Very High,2,Medium,2,Good,6,Silver range,3,Copper range,3,Meet Expectation
E1001081,38,Main labor group,Female,Single,4,Master,Life Sciences,Developer,1,Low,4,Very High,3,Better,17,Gold range,7,Silver range,3,Meet Expectation
E1001082,34,Main labor group,Female,Single,4,Master,Medical,Developer,3,High,3,High,3,Better,6,Silver range,5,Copper range,3,Meet Expectation
E1001083,35,Main labor group,Female,Married,4,Master,Life Sciences,Sales Representative,1,Low,2,Medium,2,Good,3,Copper range,2,Copper range,3,Meet Expectation
E1001085,40,Main labor group,Female,Married,2,College,Medical,Developer,3,High,4,Very High,3,Better,8,Silver range,7,Silver range,4,Exceed Expectation
E1001086,34,Main labor group,Female,Married,2,College,Life Sciences,Sales Executive,3,High,2,Medium,3,Better,6,Silver range,2,Copper range,3,Meet Expectation
E1001090,24,Young labor group,Male,Divorced,3,Bachelor,Life Sciences,Senior Developer,3,High,3,High,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001091,52,Old labor group,Female,Married,4,Master,Life Sciences,Senior Developer,4,Very High,2,Medium,3,Better,9,Silver range,2,Copper range,4,Exceed Expectation
E1001093,50,Middle-aged labor group,Male,Married,3,Bachelor,Medical,Developer,3,High,4,Very High,3,Better,30,Diamond range,3,Copper range,3,Meet Expectation
E1001094,29,Main labor group,Female,Married,2,College,Life Sciences,Developer,2,Medium,4,Very High,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001095,33,Main labor group,Male,Married,3,Bachelor,Medical,Developer,3,High,4,Very High,4,Best,14,Gold range,9,Silver range,3,Meet Expectation
E1001097,33,Main labor group,Female,Single,3,Bachelor,Marketing,Sales Executive,1,Low,3,High,3,Better,6,Silver range,2,Copper range,3,Meet Expectation
E1001098,47,Middle-aged labor group,Female,Married,2,College,Other,Developer,3,High,3,High,2,Good,26,Diamond range,14,Gold range,3,Meet Expectation
E1001101,36,Main labor group,Female,Married,3,Bachelor,Other,Developer,3,High,1,Low,3,Better,10,Silver range,7,Silver range,3,Meet Expectation
E1001102,29,Main labor group,Male,Married,2,College,Life Sciences,Senior Developer,3,High,3,High,3,Better,10,Silver range,7,Silver range,4,Exceed Expectation
E1001104,35,Main labor group,Female,Single,4,Master,Life Sciences,Senior Developer,4,Very High,3,High,3,Better,7,Silver range,2,Copper range,3,Meet Expectation
E1001105,42,Middle-aged labor group,Female,Married,2,College,Life Sciences,Developer,4,Very High,4,Very High,3,Better,8,Silver range,3,Copper range,3,Meet Expectation
E1001106,28,Main labor group,Male,Single,4,Master,Medical,Developer,3,High,4,Very High,2,Good,5,Copper range,2,Copper range,3,Meet Expectation
E1001107,36,Main labor group,Male,Married,3,Bachelor,Human Resources,Human Resources,3,High,2,Medium,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001110,40,Main labor group,Male,Single,4,Master,Medical,Developer,1,Low,4,Very High,3,Better,10,Silver range,0,no exps,3,Meet Expectation
E1001111,30,Main labor group,Female,Single,3,Bachelor,Medical,Developer,3,High,2,Medium,2,Good,12,Gold range,0,no exps,5,Outstanding
E1001112,45,Middle-aged labor group,Female,Single,3,Bachelor,Life Sciences,Developer,2,Medium,4,Very High,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001114,42,Middle-aged labor group,Male,Married,3,Bachelor,Life Sciences,Developer,2,Medium,4,Very High,2,Good,10,Silver range,8,Silver range,3,Meet Expectation
E1001115,38,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Developer,1,Low,3,High,2,Good,13,Gold range,3,Copper range,3,Meet Expectation
E1001118,49,Middle-aged labor group,Female,Married,3,Bachelor,Marketing,Sales Executive,3,High,1,Low,4,Best,9,Silver range,8,Silver range,3,Meet Expectation
E1001120,55,Old labor group,Male,Single,1,Below College,Medical,Sales Executive,3,High,3,High,2,Good,12,Gold range,7,Silver range,3,Meet Expectation
E1001121,43,Middle-aged labor group,Male,Married,2,College,Life Sciences,Developer,2,Medium,3,High,3,Better,22,Diamond range,1,Copper range,3,Meet Expectation
E1001122,27,Main labor group,Male,Divorced,1,Below College,Technical Degree,Developer,3,High,2,Medium,3,Better,9,Silver range,8,Silver range,3,Meet Expectation
E1001123,35,Main labor group,Male,Single,3,Bachelor,Other,Developer,3,High,2,Medium,4,Best,17,Gold range,5,Copper range,5,Outstanding
E1001124,28,Main labor group,Female,Married,4,Master,Marketing,Sales Executive,2,Medium,1,Low,3,Better,8,Silver range,7,Silver range,3,Meet Expectation
E1001126,26,Main labor group,Female,Married,2,College,Medical,Developer,3,High,1,Low,3,Better,8,Silver range,7,Silver range,3,Meet Expectation
E1001128,27,Main labor group,Male,Married,3,Bachelor,Medical,Developer,4,Very High,3,High,2,Good,0,no exps,0,no exps,3,Meet Expectation
E1001129,51,Old labor group,Female,Married,4,Master,Marketing,Manager,1,Low,3,High,2,Good,29,Diamond range,6,Silver range,3,Meet Expectation
E1001130,44,Middle-aged labor group,Male,Single,3,Bachelor,Medical,Developer,4,Very High,4,Very High,2,Good,10,Silver range,2,Copper range,3,Meet Expectation
E1001132,25,Main labor group,Male,Single,1,Below College,Medical,Developer,1,Low,3,High,2,Good,6,Silver range,3,Copper range,3,Meet Expectation
E1001134,35,Main labor group,Female,Single,1,Below College,Medical,Senior Developer,3,High,4,Very High,2,Good,6,Silver range,5,Copper range,3,Meet Expectation
E1001135,36,Main labor group,Male,Married,2,College,Life Sciences,Sales Executive,2,Medium,4,Very High,2,Good,18,Gold range,14,Gold range,3,Meet Expectation
E1001140,53,Old labor group,Female,Married,2,College,Marketing,Sales Executive,1,Low,4,Very High,3,Better,35,Diamond range,2,Copper range,3,Meet Expectation
E1001142,45,Middle-aged labor group,Male,Divorced,3,Bachelor,Marketing,Sales Executive,4,Very High,3,High,3,Better,18,Gold range,4,Copper range,3,Meet Expectation
E1001143,32,Main labor group,Female,Married,2,College,Medical,Developer,3,High,3,High,2,Good,9,Silver range,3,Copper range,3,Meet Expectation
E1001146,37,Main labor group,Male,Divorced,4,Master,Marketing,Sales Executive,4,Very High,4,Very High,3,Better,9,Silver range,0,no exps,3,Meet Expectation
E1001147,28,Main labor group,Male,Divorced,2,College,Medical,Human Resources,2,Medium,4,Very High,3,Better,6,Silver range,1,Copper range,3,Meet Expectation
E1001150,22,Young labor group,Male,Married,2,College,Life Sciences,Senior Developer,4,Very High,1,Low,1,Bad,4,Copper range,2,Copper range,3,Meet Expectation
E1001152,44,Middle-aged labor group,Male,Married,4,Master,Life Sciences,Developer,1,Low,3,High,2,Good,10,Silver range,2,Copper range,3,Meet Expectation
E1001153,42,Middle-aged labor group,Male,Single,1,Below College,Medical,Senior Developer,2,Medium,4,Very High,3,Better,8,Silver range,1,Copper range,3,Meet Expectation
E1001156,36,Main labor group,Male,Married,3,Bachelor,Life Sciences,Human Resources,1,Low,3,High,3,Better,6,Silver range,4,Copper range,3,Meet Expectation
E1001157,25,Main labor group,Male,Married,1,Below College,Other,Sales Executive,3,High,4,Very High,3,Better,5,Copper range,3,Copper range,3,Meet Expectation
E1001159,35,Main labor group,Female,Divorced,4,Master,Life Sciences,Developer,4,Very High,1,Low,2,Good,10,Silver range,2,Copper range,3,Meet Expectation
E1001160,32,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Developer,4,Very High,2,Medium,3,Better,4,Copper range,0,no exps,3,Meet Expectation
E1001165,49,Middle-aged labor group,Female,Married,3,Bachelor,Technical Degree,Data Scientist,3,High,2,Medium,3,Better,7,Silver range,2,Copper range,3,Meet Expectation
E1001166,24,Young labor group,Male,Married,1,Below College,Life Sciences,Senior Developer,1,Low,4,Very High,2,Good,6,Silver range,2,Copper range,3,Meet Expectation
E1001167,32,Main labor group,Male,Married,2,College,Life Sciences,Sales Executive,2,Medium,4,Very High,3,Better,10,Silver range,8,Silver range,3,Meet Expectation
E1001171,38,Main labor group,Male,Married,3,Bachelor,Marketing,Sales Representative,2,Medium,4,Very High,3,Better,3,Copper range,2,Copper range,3,Meet Expectation
E1001173,31,Main labor group,Male,Married,4,Master,Life Sciences,Senior Developer,4,Very High,2,Medium,3,Better,8,Silver range,4,Copper range,3,Meet Expectation
E1001175,53,Old labor group,Male,Married,3,Bachelor,Marketing,Sales Executive,1,Low,3,High,3,Better,28,Diamond range,0,no exps,3,Meet Expectation
E1001178,37,Main labor group,Female,Married,2,College,Medical,Sales Representative,3,High,2,Medium,3,Better,10,Silver range,4,Copper range,3,Meet Expectation
E1001179,53,Old labor group,Female,Single,4,Master,Life Sciences,Developer,4,Very High,3,High,3,Better,33,Diamond range,9,Silver range,3,Meet Expectation
E1001180,43,Middle-aged labor group,Female,Married,3,Bachelor,Life Sciences,Developer,4,Very High,2,Medium,2,Good,12,Gold range,2,Copper range,3,Meet Expectation
E1001181,47,Middle-aged labor group,Female,Married,2,College,Marketing,Sales Executive,3,High,1,Low,3,Better,8,Silver range,6,Silver range,4,Exceed Expectation
E1001182,37,Main labor group,Male,Single,2,College,Medical,Sales Executive,1,Low,4,Very High,3,Better,10,Silver range,0,no exps,3,Meet Expectation
E1001183,50,Middle-aged labor group,Male,Divorced,4,Master,Life Sciences,Developer,1,Low,4,Very High,3,Better,31,Diamond range,6,Silver range,3,Meet Expectation
E1001187,39,Main labor group,Female,Married,3,Bachelor,Life Sciences,Human Resources,4,Very High,3,High,3,Better,13,Gold range,4,Copper range,3,Meet Expectation
E1001188,33,Main labor group,Male,Divorced,2,College,Human Resources,Human Resources,4,Very High,3,High,4,Best,7,Silver range,3,Copper range,3,Meet Expectation
E1001189,32,Main labor group,Male,Single,4,Master,Life Sciences,Developer,1,Low,3,High,1,Bad,1,Copper range,0,no exps,3,Meet Expectation
E1001191,44,Middle-aged labor group,Male,Married,2,College,Life Sciences,Developer,2,Medium,4,Very High,3,Better,8,Silver range,7,Silver range,3,Meet Expectation
E1001196,58,Old labor group,Male,Divorced,1,Below College,Life Sciences,Developer,4,Very High,4,Very High,2,Good,3,Copper range,0,no exps,3,Meet Expectation
E1001200,20,Young labor group,Female,Single,3,Bachelor,Medical,Sales Representative,3,High,4,Very High,2,Good,2,Copper range,2,Copper range,3,Meet Expectation
E1001201,21,Young labor group,Female,Single,1,Below College,Other,Data Scientist,4,Very High,1,Low,2,Good,1,Copper range,0,no exps,3,Meet Expectation
E1001202,36,Main labor group,Male,Married,1,Below College,Life Sciences,Data Scientist,3,High,1,Low,2,Good,17,Gold range,8,Silver range,3,Meet Expectation
E1001203,47,Middle-aged labor group,Female,Single,4,Master,Life Sciences,Sales Representative,4,Very High,1,Low,2,Good,3,Copper range,2,Copper range,3,Meet Expectation
E1001204,22,Young labor group,Female,Married,1,Below College,Life Sciences,Developer,2,Medium,1,Low,4,Best,4,Copper range,2,Copper range,3,Meet Expectation
E1001208,28,Main labor group,Female,Divorced,3,Bachelor,Medical,Developer,3,High,2,Medium,3,Better,6,Silver range,2,Copper range,3,Meet Expectation
E1001210,39,Main labor group,Male,Married,3,Bachelor,Medical,Senior Developer,4,Very High,4,Very High,1,Bad,8,Silver range,2,Copper range,3,Meet Expectation
E1001211,27,Main labor group,Female,Single,3,Bachelor,Life Sciences,Developer,2,Medium,3,High,3,Better,1,Copper range,1,Copper range,3,Meet Expectation
E1001212,34,Main labor group,Male,Divorced,3,Bachelor,Life Sciences,Developer,2,Medium,2,Medium,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001214,42,Middle-aged labor group,Female,Single,2,College,Medical,Sales Executive,3,High,1,Low,3,Better,10,Silver range,4,Copper range,3,Meet Expectation
E1001217,33,Main labor group,Male,Single,4,Master,Other,Senior Developer,3,High,2,Medium,3,Better,6,Silver range,2,Copper range,3,Meet Expectation
E1001218,58,Old labor group,Female,Divorced,3,Bachelor,Technical Degree,Senior Developer,3,High,4,Very High,3,Better,24,Diamond range,0,no exps,3,Meet Expectation
E1001219,31,Main labor group,Male,Married,4,Master,Life Sciences,Sales Representative,2,Medium,2,Medium,4,Best,13,Gold range,7,Silver range,3,Meet Expectation
E1001220,35,Main labor group,Female,Married,1,Below College,Life Sciences,Senior Developer,4,Very High,4,Very High,1,Bad,10,Silver range,6,Silver range,3,Meet Expectation
E1001223,48,Middle-aged labor group,Male,Married,4,Master,Medical,Data Scientist,4,Very High,1,Low,2,Good,13,Gold range,0,no exps,3,Meet Expectation
E1001225,31,Main labor group,Female,Married,2,College,Marketing,Sales Executive,4,Very High,4,Very High,2,Good,9,Silver range,8,Silver range,3,Meet Expectation
E1001227,36,Main labor group,Male,Single,4,Master,Other,Developer,2,Medium,3,High,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001228,38,Main labor group,Female,Married,3,Bachelor,Technical Degree,Senior Developer,4,Very High,2,Medium,3,Better,15,Gold range,12,Gold range,3,Meet Expectation
E1001229,32,Main labor group,Female,Married,3,Bachelor,Life Sciences,Senior Developer,3,High,3,High,3,Better,5,Copper range,0,no exps,4,Exceed Expectation
E1001230,25,Main labor group,Male,Married,2,College,Marketing,Sales Representative,3,High,3,High,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001235,41,Middle-aged labor group,Male,Single,3,Bachelor,Medical,Developer,4,Very High,3,High,3,Better,20,Gold range,13,Gold range,3,Meet Expectation
E1001236,36,Main labor group,Male,Single,4,Master,Medical,Developer,3,High,3,High,3,Better,16,Gold range,8,Silver range,4,Exceed Expectation
E1001237,19,Young labor group,Male,Single,3,Bachelor,Other,Sales Representative,4,Very High,2,Medium,4,Best,1,Copper range,0,no exps,3,Meet Expectation
E1001238,20,Young labor group,Male,Single,3,Bachelor,Technical Degree,Developer,1,Low,2,Medium,3,Better,1,Copper range,0,no exps,3,Meet Expectation
E1001239,31,Main labor group,Female,Married,3,Bachelor,Medical,Developer,4,Very High,3,High,1,Bad,10,Silver range,7,Silver range,3,Meet Expectation
E1001245,36,Main labor group,Male,Married,1,Below College,Life Sciences,Sales Executive,3,High,1,Low,3,Better,16,Gold range,7,Silver range,3,Meet Expectation
E1001248,37,Main labor group,Male,Married,4,Master,Life Sciences,Sales Executive,1,Low,3,High,1,Bad,17,Gold range,1,Copper range,1,Does not Meet Minimum
E1001250,45,Middle-aged labor group,Male,Married,2,College,Life Sciences,Developer,3,High,2,Medium,2,Good,9,Silver range,7,Silver range,3,Meet Expectation
E1001252,29,Main labor group,Female,Married,3,Bachelor,Technical Degree,Sales Representative,3,High,2,Medium,3,Better,3,Copper range,1,Copper range,3,Meet Expectation
E1001253,35,Main labor group,Female,Married,3,Bachelor,Medical,Sales Executive,3,High,2,Medium,3,Better,5,Copper range,2,Copper range,3,Meet Expectation
E1001254,52,Old labor group,Male,Married,2,College,Life Sciences,Senior Developer,4,Very High,2,Medium,2,Good,26,Diamond range,8,Silver range,3,Meet Expectation
E1001259,53,Old labor group,Male,Divorced,2,College,Medical,Manager,3,High,3,High,4,Best,22,Diamond range,13,Gold range,3,Meet Expectation
E1001260,30,Main labor group,Male,Divorced,2,College,Other,Sales Executive,3,High,1,Low,4,Best,10,Silver range,4,Copper range,3,Meet Expectation
E1001262,35,Main labor group,Male,Divorced,4,Master,Life Sciences,Sales Executive,4,Very High,2,Medium,3,Better,12,Gold range,9,Silver range,3,Meet Expectation
E1001263,39,Main labor group,Male,Single,5,Doctor,Life Sciences,Sales Executive,1,Low,4,Very High,3,Better,9,Silver range,7,Silver range,3,Meet Expectation
E1001264,40,Main labor group,Female,Single,3,Bachelor,Life Sciences,Sales Executive,2,Medium,4,Very High,2,Good,22,Diamond range,0,no exps,3,Meet Expectation
E1001265,47,Middle-aged labor group,Male,Divorced,4,Master,Medical,Senior Developer,3,High,3,High,4,Best,20,Gold range,10,Silver range,3,Meet Expectation
E1001268,36,Main labor group,Male,Divorced,4,Master,Technical Degree,Sales Executive,1,Low,4,Very High,3,Better,12,Gold range,7,Silver range,3,Meet Expectation
E1001269,31,Main labor group,Male,Single,2,College,Medical,Developer,3,High,1,Low,3,Better,4,Copper range,2,Copper range,4,Exceed Expectation
E1001270,33,Main labor group,Male,Single,3,Bachelor,Life Sciences,Manager,4,Very High,4,Very High,3,Better,10,Silver range,8,Silver range,3,Meet Expectation
E1001272,29,Main labor group,Female,Single,3,Bachelor,Life Sciences,Developer,4,Very High,3,High,3,Better,3,Copper range,0,no exps,4,Exceed Expectation
E1001273,33,Main labor group,Female,Single,1,Below College,Life Sciences,Developer,2,Medium,1,Low,3,Better,5,Copper range,2,Copper range,3,Meet Expectation
E1001274,45,Middle-aged labor group,Female,Divorced,4,Master,Medical,Developer,4,Very High,4,Very High,3,Better,8,Silver range,3,Copper range,3,Meet Expectation
E1001275,50,Middle-aged labor group,Male,Divorced,2,College,Medical,Senior Developer,4,Very High,3,High,2,Good,32,Diamond range,4,Copper range,5,Outstanding
E1001276,33,Main labor group,Female,Married,4,Master,Other,Developer,3,High,1,Low,3,Better,6,Silver range,5,Copper range,3,Meet Expectation
E1001277,41,Middle-aged labor group,Male,Divorced,3,Bachelor,Medical,Developer,1,Low,2,Medium,4,Best,21,Diamond range,16,Gold range,3,Meet Expectation
E1001280,45,Middle-aged labor group,Male,Married,2,College,Life Sciences,Developer,4,Very High,3,High,3,Better,9,Silver range,8,Silver range,3,Meet Expectation
E1001281,47,Middle-aged labor group,Female,Single,2,College,Life Sciences,Sales Executive,4,Very High,3,High,3,Better,9,Silver range,0,no exps,3,Meet Expectation
E1001282,30,Main labor group,Female,Married,3,Bachelor,Life Sciences,Developer,1,Low,2,Medium,3,Better,7,Silver range,2,Copper range,3,Meet Expectation
E1001283,50,Middle-aged labor group,Male,Married,3,Bachelor,Life Sciences,Developer,4,Very High,4,Very High,3,Better,22,Diamond range,11,Gold range,3,Meet Expectation
E1001284,38,Main labor group,Male,Married,1,Below College,Medical,Senior Manager R&D,3,High,2,Medium,2,Good,3,Copper range,1,Copper range,3,Meet Expectation
E1001288,35,Main labor group,Male,Divorced,4,Master,Other,Laboratory Technician,3,High,4,Very High,1,Bad,5,Copper range,2,Copper range,3,Meet Expectation
E1001289,31,Main labor group,Female,Married,1,Below College,Life Sciences,Manufacturing Director,3,High,3,High,3,Better,4,Copper range,3,Copper range,3,Meet Expectation
E1001290,18,Young labor group,Male,Single,2,College,Life Sciences,Research Scientist,2,Medium,4,Very High,3,Better,0,no exps,0,no exps,3,Meet Expectation
E1001291,54,Old labor group,Female,Married,3,Bachelor,Technical Degree,Senior Manager R&D,3,High,3,High,3,Better,22,Diamond range,7,Silver range,3,Meet Expectation
E1001292,35,Main labor group,Female,Divorced,4,Master,Medical,Healthcare Representative,3,High,3,High,2,Good,16,Gold range,10,Silver range,3,Meet Expectation
E1001293,30,Main labor group,Female,Married,2,College,Life Sciences,Research Director,2,Medium,3,High,2,Good,9,Silver range,7,Silver range,2,Needs Improvement
E1001296,26,Main labor group,Male,Married,2,College,Medical,Senior Manager R&D,4,Very High,2,Medium,3,Better,8,Silver range,7,Silver range,3,Meet Expectation
E1001297,22,Young labor group,Male,Married,1,Below College,Life Sciences,Laboratory Technician,2,Medium,1,Low,2,Good,4,Copper range,3,Copper range,1,Does not Meet Minimum
E1001300,48,Middle-aged labor group,Male,Single,3,Bachelor,Life Sciences,Healthcare Representative,1,Low,4,Very High,3,Better,19,Gold range,2,Copper range,1,Does not Meet Minimum
E1001302,48,Middle-aged labor group,Male,Single,4,Master,Life Sciences,Senior Manager R&D,3,High,2,Medium,3,Better,27,Diamond range,11,Gold range,3,Meet Expectation
E1001303,41,Middle-aged labor group,Female,Single,2,College,Medical,Manufacturing Director,4,Very High,2,Medium,3,Better,8,Silver range,2,Copper range,3,Meet Expectation
E1001304,39,Main labor group,Female,Married,1,Below College,Life Sciences,Manufacturing Director,4,Very High,3,High,3,Better,21,Diamond range,6,Silver range,3,Meet Expectation
E1001305,27,Main labor group,Female,Married,4,Master,Life Sciences,Senior Manager R&D,1,Low,2,Medium,3,Better,4,Copper range,2,Copper range,1,Does not Meet Minimum
E1001306,35,Main labor group,Male,Divorced,3,Bachelor,Other,Laboratory Technician,2,Medium,1,Low,2,Good,3,Copper range,2,Copper range,1,Does not Meet Minimum
E1001307,42,Middle-aged labor group,Male,Married,2,College,Marketing,Manager,4,Very High,2,Medium,4,Best,21,Diamond range,0,no exps,4,Exceed Expectation
E1001308,50,Middle-aged labor group,Male,Married,3,Bachelor,Life Sciences,Laboratory Technician,1,Low,2,Medium,3,Better,8,Silver range,0,no exps,3,Meet Expectation
E1001310,59,Old labor group,Female,Single,3,Bachelor,Life Sciences,Manufacturing Director,3,High,1,Low,3,Better,30,Diamond range,3,Copper range,3,Meet Expectation
E1001312,55,Old labor group,Male,Married,4,Master,Medical,Healthcare Representative,3,High,4,Very High,3,Better,17,Gold range,7,Silver range,3,Meet Expectation
E1001313,41,Middle-aged labor group,Female,Divorced,1,Below College,Life Sciences,Research Director,2,Medium,2,Medium,3,Better,21,Diamond range,16,Gold range,2,Needs Improvement
